TITLE	WxH	BYTES	LIT_PCT	COLOURS	PREV_LIT_PCT	PREV_COLOURS
00-nodisk	640x200	3681	1.98	2	1.98	2
01-Archon	640x200	15148	16.63	7	16.63	7
02-Thexder	640x200	51456	60.56	7	60.41	7
04-Ys	640x200	33447	32.25	8	32.25	8
31-drv1	640x200	2605	0.82	2	0.82	2
46-AVDemo	640x200	4560	2.48	5	2.48	5
45-WoodyPoco	640x200	18884	57.27	44	57.27	44
43-DragonBuster	640x200	15428	57.88	16	57.89	16
51-Luxsor1	640x200	10978	23.00	16	23.00	16
52-Luxsor2	640x200	23322	75.37	33	75.67	35
53-PsyOBlade	640x200	21195	18.16	8	18.16	8

# XANADU.D77 multi-disk container (the new feature in 4b447f3)
DISK_INDEX	WxH	BYTES	LIT_PCT	COLOURS	WHAT
0	640x200	35594	48.86	8	XANADU DISK A -- boots
1	640x200	1812	0.04	2	user disk -- correctly does not boot
2	640x200	2739	0.91	2	XANADU COPY TOOL Ver 1.0
7	640x200	2739	0.91	2	clamps to last reachable (== index 2)
