TITLE	WxH	BYTES	LIT_PCT	COLOURS	BASE_LIT_PCT	BASE_COLOURS
00-nodisk	640x200	3681	1.98	2	1.98	2
01-Archon	640x200	15134	16.63	7	-	-
02-Thexder	640x200	51405	60.41	7	-	-
03-HydlideII	640x200	25916	21.64	8	-	-
04-Ys	640x200	33447	32.25	8	-	-
05-Knight	640x200	12726	52.18	8	-	-
06-Dezeni	640x200	14220	53.58	6	-	-
07-Mugen	640x200	24798	33.46	7	-	-
08-Xevious	640x200	9259	23.66	4	-	-
09-Tritorn	640x200	26189	20.13	7	-	-
10-Hokuto	640x200	3571	0.92	3	-	-
11-OS9	640x200	1812	0.04	2	-	-
31-drv1	640x200	2605	0.82	2	-	-
40-ToppleZip	640x200	15254	41.46	6	-	-
41-Wibarm	640x200	20594	25.60	7	-	-
42-Druaga	640x200	4767	17.02	7	-	-
43-DragonBuster	640x200	15473	57.89	16	-	-
45-WoodyPoco	640x200	18884	57.27	44	57.27	44
46-AVDemo	640x200	4560	2.48	5	-	-
50-DeepForest	640x200	75226	83.94	284	90.16	288
51-Luxsor1	640x200	11080	23.00	16	0.00	1
52-Luxsor2	640x200	23326	75.67	35	0.00	1
53-PsyOBlade	640x200	21195	18.16	8	0.00	1
54-DeathForce	640x200	1771	0.00	1	-	-
55-ProYakyuu	640x200	17657	49.90	16	-	-
56-SoundEditor	640x200	6548	40.99	8	-	-
57-Wizardry4	640x200	9673	9.13	8	-	-
60-XanaduA	640x200	35594	48.86	8	-	-
61-MarchenVeil	640x200	5298	2.53	5	-	-
62-Daisenryaku	640x200	7140	3.33	3	-	-
