MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
474	8802	3812	4544	-	The Dark Crystal (Disk 1-B)
10912	8365	3790	5267072	-	Ys - Ancient Ys Vanished Omen (1987)(Falcom)(JP)[a]
5752	8802	3812	4542	-	Relics (Disk B)
8329	7526	18341	769078	-	Champion ProWres Special
9449	10122	5200	8900719	-	[OS] OS-9 Level 1 (Disk 2) {boot DOS mode}
8249	8494	28471	885249	-	Alpha (1986)(Square)(JP)
7758	6025	4210	5306922	-	Wing Man2 (1986)(ENIX)(JP)
9401	10015	3815	8424570	-	Fairie's Residence (Disk 1)
9473	10113	4382	8825085	-	[Compilation] Game 03G [b]
8250	8725	5037	6132263	-	HARRIER0.D77
8656	6311	7850	2749187	-	The Castle & Castle Excellent
8677	6234	7355	2955897	-	Hot File Express (1989-09-01)(Kyoto Media)(JP)
5824	770	3812	20386080	-	FM77AV demo [Alt 1] [b]
9520	634	3790	91834	-	Mah-jongg Kyo Jidai Special (1988)(Micro Net)(JP)
674	8791	3790	55865	-	Ulysses and The Golden Fleece (1983)(Star Craft)(JP)
9473	10113	4382	8825091	-	[Compilation] Game Bank (#04)
11019	8802	3812	4543	-	The Akunin 2 {run AKUNIN-2}
9473	10099	5160	8844173	-	[Compilation] Game Bank (#06)
4291	8561	4935	134638	-	Team AB Music Disk Ebifuku Zenkyoku Shuu (2DD)
9740	8802	3812	4659696	-	Dragon Buster (Dempa)
8467	7445	41051	2699812	-	Yuunagi no Horizon (1986)(Victor)(JP)
9461	10094	4411	8711690	-	Lovely Gal (Disk 2)
9461	10094	4411	8711804	-	Shark v0.37L.D77
7300	5339	30952	4817003	-	Mugen no Shinzou II (Disk 1 - Program) [b]
9474	10128	5181	8843011	-	Uranai Program Collection {run RUN}
8395	6446	5428	6854339	-	DNA (Disk A)
9951	583	3790	18703	-	Silpheed (1988)(Game Arts)(JP)
6157	8802	3812	4856	RUNAWAY-INTO-IO 	HARRIER1.D77
7640	7973	4592	2917293	-	Penguin-kun Wars (demo)
11019	8802	3812	4543	-	The Akunin {run AKUNIN-1}
8768	6746	8493	2506817	-	Daisenryaku FM
5496	8238	12753	1067610	-	Wizardry #3 Legacy of Llylgamyn (1987)(ASCII)(JP)
7731	7372	4707	3767363	-	Girls Paradise (1989)(Great)(JP)
8645	7558	5071	1881051	-	DRUAGA.D77
8383	8802	3812	5279685	-	Ys (FM7) (Disk B)
8467	7445	41051	2699812	-	Horizon
9951	583	3790	18703	-	SIL_A.D77
7848	8764	10584	1787174	-	Helicoid
11019	8802	3812	4543	-	The Akunin 3 {run AKUNIN-3}
8533	8340	7367	1781766	-	Gambler Jikotyusinha (1989)(Game Arts)(JP)
