MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
7425	3886	31980	515972	-	Riglas
8040	7012	13423	1556822	-	REVIVER1.D77
11019	8802	4006	4547	-	Ys (FM7) (User disk)
5758	8802	3812	4548	-	FLEX301.D77
9473	10113	4382	8825091	-	[Compilation] Game 012
8111	8561	4346	357851	-	[Compilation] FM-Soft
5759	8802	3812	4542	-	Girls Paradise (Disk D) [b]
11019	8802	3812	4543	-	Lode Runner (Oh! FM-7 custom levels)
11019	8802	4006	4547	-	Ancient Ys - Vanished Omen (1987-10)(Falcom)(JP)[Data Disk]
5760	8802	3812	4542	-	DNA (Disk B)
9460	10094	4411	8704804	-	SELES_B.D77
8127	8339	3814	1978779	-	FBASIC10.D77
8770	8100	48297	841018	-	Arion (Disk A)
8396	8801	8383	104802	-	[Utility] Expert FM (Construction 2)
8743	6687	16803	4064970	-	Count, The (1985)(Star Craft)(JP)
8320	8127	4079	792194	-	JUSHOROK.D77
8734	6620	16742	4036697	-	Voodoo Castle (1984)(Star Craft)(JP)
8662	6320	4896	2900257	-	CRISTINE.D77
5753	8802	3812	4542	-	Skapon Tankentai (FM7) (Disk 2 - Hatsudou-hen)
9464	8987	6861	333042	-	Merchen Veil I (1987)(System Sacom)(JP)
8717	9345	4136	5372339	-	A-Train (A Ressha de Ikou)
7641	6412	5261	5692223	-	Hokuto no Ken (Disk 1)
1721	8802	3812	149467	-	Girls Paradise (Disk B)
9473	10113	4382	8814068	-	[Compilation] Game Bank (#05)
674	8791	3790	55865	-	ULYSSES0.D77
8304	8216	3790	1630182	-	Transylvania (Disk 0) {run FM}
10030	7757	35924	1015996	-	Ancient Ys - Vanished Omen (1987-10)(Falcom)(JP)(Disk 1 of 2)
8606	6318	8851	2893265	-	Weird 2
8383	8802	3812	5279685	-	Ancient Ys - Vanished Omen (1987-10)(Falcom)(JP)(Disk 2 of 2)
9054	8034	18745	4075376	-	Genmu no Shiro
8775	6711	13316	4383886	-	Strange Odyssey
