MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
6399	8721	3790	3519	-	[Compilation] FM-7 Programs 03
6397	8721	3790	6383	-	[Compilation] Game 04G [b]
5492	9471	4401	1435108	-	[Compilation] Game 013
6397	8721	3790	6381	-	[Compilation] Game 02G [b]
5492	9470	4401	1435212	-	[Compilation] Game 011
4865	8318	4345	139970	-	[Compilation] FM-Soft
6397	8721	3790	6381	-	[Compilation] Game 03G [b]
5466	9407	4383	1350871	-	[Compilation] 5-in-1 Pack
4813	8119	8640	129707	-	[Compilation] Game 2
4921	7691	7847	163200	-	[Compilation] Game 1
5492	9470	4401	1435212	-	[Compilation] Game 014
5492	9470	4401	1435212	-	[Compilation] Game 012
3801	3633	3790	155629	-	[Compilation] Game 4 {boot DOS mode}
5492	9470	4401	1435212	-	[Compilation] Game Bank (#01)
5468	9408	4383	1358063	-	[Compilation] Game Bank (#20)
3824	8721	3790	4688	-	[Compilation] Juegos 5 [b]
5423	9443	5154	1386458	-	[Compilation] Game Bank (#02)
4926	8134	6284	102706	-	[Compilation] Game 3 [b]
5492	9470	4401	1435212	-	[Compilation] Game Bank (#04)
5423	9443	5154	1386418	-	[Compilation] Game Bank (#06)
5423	9444	5154	1385862	-	[Compilation] Game Bank (#03)
5423	9443	5154	1386410	-	[Compilation] Game Bank (#07)
5491	9470	4401	1428167	-	[Compilation] Game Bank (#05)
5410	9552	5218	1366169	-	[Compilation] Juegos 3 [b]
1245	8727	3814	3518	-	[Compilation] Ura DOS 01 [b]
5409	9545	5218	1361096	-	[Compilation] Ura DOS 00 [b]
5468	9408	4383	1358063	-	[OS] F-BASIC v3.0 L10
5409	9545	5218	1361093	-	[Compilation] Ura DOS 22 [b]
3760	8721	3790	3662587	RUNAWAY-INTO-IO 	[OS] F-BASIC v3.4 L21 (FM77AV40SX)
5409	9545	5218	1361100	-	[Compilation] Ura DOS 21 [b]
5357	9516	5218	1443911	-	[OS] OS-9 Level 1 (Disk 1) {boot DOS mode}
4675	8721	3790	1047112	-	[OS] F-BASIC v3.3 L10 (FM77AV)
4675	8721	3790	1047112	-	[OS] F-BASIC v3.3 L11 (FM77AV)
5357	9516	5218	1443911	-	[OS] OS-9 Level 1 (Disk 2) {boot DOS mode}
3775	8721	3790	27568	-	[Utility] Exassave (rom dump utility)
5466	9405	4383	1344727	-	[Utility] Expert FM (Construction 1)
5059	8610	8328	84564	-	[Utility] Expert FM (Construction 2)
3692	2868	4057	3737203	-	[Utility] FM Graphic Editor II (FM77AV40)
5348	9318	4200	1212304	-	[Utility] Expert FM
2781	8721	3790	687181	-	[Utility] FM Sound Editor (FM77AV)
4164	8341	5253	180254	-	[Utility] Super Kanji Juushoroku
5466	9408	4383	1344150	-	[Utility] The File Master FM (Hot File Express) (1987-03-16)
5131	6208	7393	482838	-	[Utility] The File Master FM (Hot File Express) (1988-07-11)
5131	6208	7387	482838	-	[Utility] The File Master FM (Hot File Express) (1987-12-20)
5131	6208	7383	482838	-	[Utility] The File Master FM (Hot File Express) (1987-02-10)
5131	6208	7362	482838	-	[Utility] The File Master FM (Hot File Express) (1988-08-21)
5131	6208	7421	482838	-	[Utility] The File Master FM (Hot File Express) (1988-04-30)
5466	9407	4383	1345394	-	[Utility] The File Master FM (Hot File Express) (1989-01-19)
5131	6208	7390	482838	-	[Utility] The File Master FM (Hot File Express) (1989-01-21)
5131	6208	7358	482838	-	[Utility] The File Master FM (Hot File Express) (1989-09-01)
5064	7299	6677	695356	-	[Utility] The File Master FM
5182	8415	5880	786114	-	1942
4622	8362	4003	266630	-	A-Train (A Ressha de Ikou)
3665	8721	3790	3518	-	Albatross (Disk 2)
5415	9442	5218	1382997	-	Abyss [b]
3749	8721	3790	28493	-	Albatross (Disk 3)
5589	8721	3790	931382	-	Albatross (Disk 1)
6397	8721	3790	6383	-	[Compilation] Game 011 [Alt 1] [b]
5313	8047	6710	268206	-	Alpha
6397	8721	3790	6381	-	[Compilation] Game 012 [Alt 1] [b]
5492	9471	4401	1435108	-	[Compilation] Game 013 [Alt 1] [b]
5492	9470	4401	1435198	-	[Compilation] Game 03G [Alt 1] [b]
3692	2868	4057	3737203	-	FM77AV demo [Alt 1] [b]
6395	8723	4010	9341	-	Kugyokuden (FM77AV) (Disk 1 - Joukan) [Alt 1]
5807	2134	3790	94889	-	Luxsor (FM77AV) (Disk 2) [Alt 1]
5412	9565	5197	1378466	-	Laydock (FM77AV) (Disk B - Data) [Alt 1]
5412	9565	5197	1378466	-	Laydock (FM77AV) (Disk B - Data) [Alt 2]
5608	8721	3790	2082876	-	Laydock (FM77AV) (Disk A - Program) [Alt 1]
5412	9565	5197	1378466	-	Laydock (FM77AV) (Disk B - Data) [Alt 3]
6399	8721	3790	3519	-	Lode Runner (Oh! FM-7 custom levels) [Alt 1]
4894	7600	3790	137206	-	Reviver (FM77AV) (Disk A - Master) [Alt 1]
3746	8721	3790	29073	-	Might and Magic (FM77AV) (Disk A) [Alt 1]
1195	8721	3790	110821	RUNAWAY-INTO-IO 	Thexder [Alt 1] [b]
5467	9407	4383	1353361	-	Seles (FM77AV) (Disk B) [Alt 1]
6311	8628	4165	30153	-	Silpheed (FM77AV) (Disk B) [Alt 1]
3776	8724	3790	3518	-	Wibarm (Data disk) [Alt 1] [b]
2638	8727	3790	209374	-	Xanadu (Disk A - Program) [Alt 1] [b]
2644	8727	3790	199094	-	Xanadu Scenario II (Disk D - Program) [Alt 2]
6399	8717	4024	3523	-	Ys (FM7) (User disk) [Alt 1]
2638	8727	3790	209374	-	Xanadu Scenario II (Disk D - Program) [Alt 1]
6399	8717	4024	3523	-	Ys (FM77AV) (User disk) [Alt 1] [b]
