MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
6697	8721	3790	6667	-	[Compilation] FM-7 Programs 03
6671	8721	3790	19486	-	[Compilation] Game 03G [b]
5622	9730	4383	1790348	-	[Compilation] Game 011
5622	9730	4383	1790348	-	[Compilation] Game 012
6671	8721	3790	19480	-	[Compilation] Game 02G [b]
6671	8721	3790	19251	-	[Compilation] Game 04G [b]
5596	9665	4401	1706008	-	[Compilation] 5-in-1 Pack
5622	9730	4383	1790348	-	[Compilation] Game 014
5622	9730	4383	1790271	-	[Compilation] Game 013
4983	7102	7847	229993	-	[Compilation] Game 1
4871	8279	4345	143478	-	[Compilation] FM-Soft
4864	7685	10923	182868	-	[Compilation] Game 2
4954	2094	3790	158621	-	[Compilation] Game 4 {boot DOS mode}
4976	8000	7098	101743	-	[Compilation] Game 3 [b]
5622	9730	4383	1790348	-	[Compilation] Game Bank (#01)
5622	9730	4383	1790348	-	[Compilation] Game Bank (#04)
3830	8721	3790	5298	-	[Compilation] Juegos 5 [b]
5626	9701	5135	1809861	-	[Compilation] Game Bank (#03)
5626	9704	5135	1810480	-	[Compilation] Game Bank (#06)
5626	9704	5135	1810518	-	[Compilation] Game Bank (#02)
5621	9730	4383	1783303	-	[Compilation] Game Bank (#05)
5598	9665	4401	1713199	-	[Compilation] Game Bank (#20)
5626	9704	5135	1810471	-	[Compilation] Game Bank (#07)
5601	9792	5197	1770622	-	[Compilation] Juegos 3 [b]
5600	9782	5197	1765631	-	[Compilation] Ura DOS 00 [b]
3756	8721	3814	4128	-	[Compilation] Ura DOS 01 [b]
3505	8721	3790	4418102	RUNAWAY-INTO-IO 	[OS] F-BASIC v3.4 L21 (FM77AV40SX)
5600	9782	5197	1765520	-	[Compilation] Ura DOS 22 [b]
3381	8721	3790	6666	-	[Utility] Exassave (rom dump utility)
5598	9665	4401	1713199	-	[OS] F-BASIC v3.0 L10
5600	9781	5197	1765664	-	[Compilation] Ura DOS 21 [b]
4560	8721	3790	1316572	-	[OS] F-BASIC v3.3 L11 (FM77AV)
4560	8721	3790	1316494	-	[OS] F-BASIC v3.3 L10 (FM77AV)
5555	9769	5197	1864229	-	[OS] OS-9 Level 1 (Disk 1) {boot DOS mode}
5556	9767	5197	1864479	-	[OS] OS-9 Level 1 (Disk 2) {boot DOS mode}
5596	9664	4401	1699863	-	[Utility] Expert FM (Construction 1)
3425	1397	4057	4503191	-	[Utility] FM Graphic Editor II (FM77AV40)
5049	8651	7726	48872	-	[Utility] Expert FM (Construction 2)
4983	7856	12095	379504	-	[Utility] Expert FM
5596	9661	4401	1699286	-	[Utility] The File Master FM (Hot File Express) (1987-03-16)
4815	7819	6634	350330	-	[Utility] Super Kanji Juushoroku
5317	8721	3790	1253317	-	[Utility] FM Sound Editor (FM77AV)
5137	5736	7195	501087	-	[Utility] The File Master FM (Hot File Express) (1987-12-20)
5137	5736	7170	501087	-	[Utility] The File Master FM (Hot File Express) (1987-02-10)
5596	9665	4401	1700530	-	[Utility] The File Master FM (Hot File Express) (1989-01-19)
5137	5736	7173	501087	-	[Utility] The File Master FM (Hot File Express) (1988-08-21)
5137	5736	7189	501087	-	[Utility] The File Master FM (Hot File Express) (1988-07-11)
5137	5736	7235	501087	-	[Utility] The File Master FM (Hot File Express) (1988-04-30)
5137	5736	7214	501087	-	[Utility] The File Master FM (Hot File Express) (1989-01-21)
5137	5736	7170	501087	-	[Utility] The File Master FM (Hot File Express) (1989-09-01)
4669	3528	11946	581065	-	Albatross (Disk 1)
5072	7259	6677	694590	-	[Utility] The File Master FM
3378	8721	3790	6666	-	Albatross (Disk 2)
5081	8422	5880	888052	-	1942
3469	8721	3790	37191	-	Albatross (Disk 3)
5616	9799	5218	1805956	-	Abyss [b]
5195	7414	3790	429065	-	Alpha
4619	8032	9078	432708	-	A-Train (A Ressha de Ikou)
6671	8721	3790	19545	-	[Compilation] Game 011 [Alt 1] [b]
6671	8721	3790	19469	-	[Compilation] Game 012 [Alt 1] [b]
3413	1330	4057	4532853	-	FM77AV demo [Alt 1] [b]
5622	9731	4383	1790256	-	[Compilation] Game 013 [Alt 1] [b]
5622	9729	4383	1790214	-	[Compilation] Game 03G [Alt 1] [b]
6689	8721	4010	14407	-	Kugyokuden (FM77AV) (Disk 1 - Joukan) [Alt 1]
5986	608	3790	99079	-	Luxsor (FM77AV) (Disk 2) [Alt 1]
5618	9826	5218	1809159	-	Laydock (FM77AV) (Disk B - Data) [Alt 1]
5737	8721	3790	2552476	-	Laydock (FM77AV) (Disk A - Program) [Alt 1]
5618	9826	5218	1809159	-	Laydock (FM77AV) (Disk B - Data) [Alt 2]
6697	8721	3790	6667	-	Lode Runner (Oh! FM-7 custom levels) [Alt 1]
5618	9826	5218	1809159	-	Laydock (FM77AV) (Disk B - Data) [Alt 3]
4667	6304	7263	264190	-	Reviver (FM77AV) (Disk A - Master) [Alt 1]
3467	8721	3790	32221	-	Might and Magic (FM77AV) (Disk A) [Alt 1]
