MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
614	40	3790	344246	-	Death Force (FM77AV) (Disk A)
7261	134	7422	1376001	-	Daiva Story 2 - Memory in Durga (FM77AV) (Disk A)
7339	653	13556	1709281	-	Digital Devil Story - Megami Tensei (FM77AV) (Disk A)
7480	591	87079	3167791	-	Deep Forest (FM77AV) (Disk A)
6992	8573	4420	3207747	-	[OS] F-BASIC v3.3 L11 (FM77AV)
6992	8573	4420	3207766	-	[OS] F-BASIC v3.3 L10 (FM77AV)
6859	8481	7313	1108143	-	[Utility] FM Sound Editor (FM77AV)
6004	8572	33754	1124030	-	Argo (FM77AV) (Disk A)
8392	888	14537	5676227	-	Dragon Buster (FM77AV)
7305	2538	4057	3561963	-	FM77AV demo
8589	8459	10696	1458399	-	Gambler Jikochuushinha (FM77AV)
7305	2538	4057	3561963	-	FM77AV-DEMO.D77
7286	976	3790	368940	-	In the Dream (FM77AV) (Disk A)
9755	8199	3790	6283841	-	Kohakuiro no Yuigon (FM77AV) (Disk 1)
9503	10108	4656	9087035	-	How Many Robot (FM77AV) (Disk 1)
7780	7420	14775	3680800	-	How Many Robot (FM77AV) (Disk 0)
8249	8802	3812	1530359	-	Kohakuiro no Yuigon (FM77AV) (Disk 2)
8249	8802	3812	1530359	-	Kohakuiro no Yuigon (FM77AV) (Disk 3)
10010	74	3812	6630189	-	Laydock (FM77AV) (Disk A - Program)
8249	8802	3812	1530359	-	Kohakuiro no Yuigon (FM77AV) (Disk 4)
10010	74	3812	6630189	-	Laydock (FM77AV) (T&E) (Disk A - Program)
11144	8779	4363	104944	-	Kugyokuden (FM77AV) (Disk 2 - Gekan)
286	8781	3814	103863	-	Little Box (FM77AV) (Disk A)
7834	8644	5851	3548410	-	Kugyokuden (FM77AV) (Disk 1 - Joukan)
6823	315	19296	1448976	-	Luxsor (FM77AV) (Disk 1)
60	8802	3812	27026	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 2)
7993	5083	29661	4547025	-	Luxsor (FM77AV) (Disk 2)
8385	8802	3812	3359052	-	Might and Magic (FM77AV) (Disk A)
7791	4928	46542	5028754	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 1)
9525	10169	4411	9216148	-	Metal -X- (FM77AV) {run METAL-X-}
7927	8802	3812	732013	-	Might and Magic (FM77AV) (Disk C)
7927	8802	3812	732013	-	Might and Magic (FM77AV) (Disk D)
5987	128	15115	656562	-	Mugen Senshi Valis (FM77AV) (Disk 1)
7007	1743	10738	1886133	-	Mugen Senshi Valis (FM77AV) (Disk 2)
11156	8791	4099	47984	-	Psy-O-Blade (FM77AV) (Disk 2 - A)
7327	8727	3790	3002767	-	Nobunaga no Yabou - Zenkoku-ban (FM77AV) (Disk A)
8155	7544	17316	2371806	-	Pro Yakyuu Fan (FM77AV) (Disk A)
8303	166	24368	998767	-	Psy-O-Blade (FM77AV) (Disk 1 - Program)
11156	8791	4092	47984	-	Psy-O-Blade (FM77AV) (Disk 3 - B)
11156	8791	4090	47984	-	Psy-O-Blade (FM77AV) (Disk 4 - C)
11156	8791	4090	47984	-	Psy-O-Blade (FM77AV) (Disk 5 - D)
7795	9134	5492	2741196	-	Reviver (FM77AV) (Disk A - Master)
7446	2286	3790	5774263	-	Seles (FM77AV) (Disk A)
7183	136	7292	291556	-	Silpheed (FM77AV) (Disk A)
7393	7938	3790	2646175	-	Space Harrier (FM77AV) (Disk 0)
9334	7125	94357	3741575	-	Shounen Mike no Hitoritabi (FM77AV)
7393	7938	3790	2646175	-	Space Harrier (FM77AV)(Dempa) (Disk 0)
6725	8576	3790	582280	-	Space Harrier (FM77AV) (Disk 1)
6725	8576	3790	582280	-	Space Harrier (FM77AV)(Dempa) (Disk 1)
7646	4950	21368	3737340	-	Tetris (FM77AV)
11160	9342	8744	963938	-	The Return of Ishtar (FM77AV) (Disk A)
480	8333	3790	235621	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 1)
11160	9342	8744	963938	-	The Return of Ishtar (FM77AV) (SPS) (Disk A)
8144	7133	5343	1916131	-	The Tower of Druaga (FM77AV) (Dempa)
8144	7133	5343	1916131	-	The Tower of Druaga (FM77AV)
9528	10209	5163	9344901	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 2)
9528	10209	5163	9344899	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 3)
6004	8258	8291	1050545	-	Wizardry IV (FM77AV) (Disk A)
53	8802	3812	23168	-	World Golf II (FM77AV) (Disk 2)
5950	40	17780	3633918	-	Woody Poco (FM77AV) (Disk 1)
8385	8792	4752	31121	-	Wizardry IV (FM77AV) (Disk C)
11165	8802	3812	23168	-	Woody Poco (FM77AV) (Disk 2)
8462	8468	23919	2865927	-	World Golf II (FM77AV) (Disk 1)
7447	7357	5882	3184603	-	Yami no Iyo Densetsu (FM77AV) (Disk 1)
9528	10210	5163	9345602	-	Yami no Iyo Densetsu (FM77AV) (Disk 2)
8781	7768	35924	1921451	-	Ys (FM77AV) (Disk A)
11165	8802	3812	23168	-	Ys II (FM77AV) (Disk A)
7156	7487	40048	1970661	-	Ys II (FM77AV) (Program disk)
