MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
427	44	3790	252807	-	Death Force (FM77AV) (Disk A)
6488	112	43504	3354775	-	Dragon Buster (FM77AV)
604	8718	4055	312084	-	[Utility] FM Sound Editor (FM77AV)
6009	615	3790	237630	-	Deep Forest (FM77AV) (Disk A)
602	8621	19999	274762	-	Argo (FM77AV) (Disk A)
3578	3086	10792	331804	-	Digital Devil Story - Megami Tensei (FM77AV) (Disk A)
6255	7467	3790	3103093	-	FM77AV demo
6255	7467	3790	3103093	-	FM77AV-DEMO.D77
4429	8778	3814	4135615	-	[OS] F-BASIC v3.3 L11 (FM77AV)
5977	8131	3790	286428	-	Daiva Story 2 - Memory in Durga (FM77AV) (Disk A)
4936	7609	7334	1306388	-	Gambler Jikochuushinha (FM77AV)
4429	8778	3814	4135615	-	[OS] F-BASIC v3.3 L10 (FM77AV)
4568	7183	5158	1923465	-	How Many Robot (FM77AV) (Disk 0)
4987	1272	3790	351873	-	In the Dream (FM77AV) (Disk A)
5669	9952	4630	5331134	-	How Many Robot (FM77AV) (Disk 1)
5162	8010	16857	3385639	-	Kohakuiro no Yuigon (FM77AV) (Disk 1)
5982	81	3814	3973995	-	Laydock (FM77AV) (Disk A - Program)
5982	81	3814	3973995	-	Laydock (FM77AV) (T&E) (Disk A - Program)
4656	8778	3814	734539	-	Kohakuiro no Yuigon (FM77AV) (Disk 2)
243	8709	3790	85689	-	Little Box (FM77AV) (Disk A)
4656	8778	3814	734539	-	Kohakuiro no Yuigon (FM77AV) (Disk 3)
4656	8778	3814	734539	-	Kohakuiro no Yuigon (FM77AV) (Disk 4)
4492	8711	3814	8854712	-	Kugyokuden (FM77AV) (Disk 1 - Joukan)
4492	8710	3814	8854712	-	Kugyokuden (FM77AV) (Disk 2 - Gekan)
5810	812	3790	125252	-	Luxsor (FM77AV) (Disk 1)
6017	227	3790	113279	-	Luxsor (FM77AV) (Disk 2)
5744	189	3790	74608	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 1)
48	8778	3814	24223	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 2)
4351	130	17191	714460	-	Mugen Senshi Valis (FM77AV) (Disk 1)
4919	236	8156	3141228	-	Mugen Senshi Valis (FM77AV) (Disk 2)
5012	8778	3814	545885	-	Might and Magic (FM77AV) (Disk A)
5693	10055	4401	5433470	-	Metal -X- (FM77AV) {run METAL-X-}
4537	8778	3814	315006	-	Might and Magic (FM77AV) (Disk C)
4537	8778	3814	315006	-	Might and Magic (FM77AV) (Disk D)
5030	8623	3790	719699	-	Nobunaga no Yabou - Zenkoku-ban (FM77AV) (Disk A)
5435	8745	3814	2716625	-	Pro Yakyuu Fan (FM77AV) (Disk A)
6021	165	4401	90334	-	Psy-O-Blade (FM77AV) (Disk 1 - Program)
6687	8753	4095	47071	-	Psy-O-Blade (FM77AV) (Disk 2 - A)
6687	8753	4085	47071	-	Psy-O-Blade (FM77AV) (Disk 3 - B)
6687	8753	4086	47071	-	Psy-O-Blade (FM77AV) (Disk 4 - C)
6016	185	3790	29973	-	Silpheed (FM77AV) (Disk A)
4885	3093	3790	3509984	-	Seles (FM77AV) (Disk A)
4625	8798	5525	1036587	-	Reviver (FM77AV) (Disk A - Master)
6687	8753	4083	47071	-	Psy-O-Blade (FM77AV) (Disk 5 - D)
5410	3396	3790	437092	-	Space Harrier (FM77AV) (Disk 0)
6574	8707	3814	4158500	-	Shounen Mike no Hitoritabi (FM77AV)
5410	3396	3790	437092	-	Space Harrier (FM77AV)(Dempa) (Disk 0)
3757	8337	3819	241604	-	Space Harrier (FM77AV) (Disk 1)
3757	8337	3819	241604	-	Space Harrier (FM77AV)(Dempa) (Disk 1)
4805	5488	3814	2028810	-	Tetris (FM77AV)
6429	8893	8158	681486	-	The Return of Ishtar (FM77AV) (Disk A)
6429	8893	8158	681486	-	The Return of Ishtar (FM77AV) (SPS) (Disk A)
423	8064	3790	210085	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 1)
5056	8679	5069	1416408	-	The Tower of Druaga (FM77AV) (Dempa)
5696	10108	5216	5518497	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 2)
7269	44	3816	3629689	-	Woody Poco (FM77AV) (Disk 1)
5056	8679	5069	1416408	-	The Tower of Druaga (FM77AV)
5696	10108	5216	5518497	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 3)
3721	8063	10424	666613	-	Wizardry IV (FM77AV) (Disk A)
5032	8530	4806	28368	-	Wizardry IV (FM77AV) (Disk C)
6695	8778	3814	21908	-	Woody Poco (FM77AV) (Disk 2)
45	8778	3814	21908	-	World Golf II (FM77AV) (Disk 2)
6019	272	3814	128168	-	World Golf II (FM77AV) (Disk 1)
5696	10109	5216	5518831	-	Yami no Iyo Densetsu (FM77AV) (Disk 2)
4378	7332	3790	1460750	-	Yami no Iyo Densetsu (FM77AV) (Disk 1)
4898	7244	35402	1416839	-	Ys (FM77AV) (Disk A)
5725	7021	40208	1091609	-	Ys II (FM77AV) (Program disk)
6695	8778	3814	21908	-	Ys II (FM77AV) (Disk A)
