MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
614	40	3790	344246	-	Death Force (FM77AV) (Disk A)
7261	134	3790	1376001	-	Daiva Story 2 - Memory in Durga (FM77AV) (Disk A)
5289	8802	3812	434533	-	[OS] F-BASIC v3.3 L10 (FM77AV)
5289	8802	3812	434533	-	[Utility] FM Sound Editor (FM77AV)
5289	8802	3812	434533	-	[OS] F-BASIC v3.3 L11 (FM77AV)
6004	8572	33754	1124030	-	Argo (FM77AV) (Disk A)
7480	591	87079	3167791	-	Deep Forest (FM77AV) (Disk A)
7332	653	15325	1805375	-	Digital Devil Story - Megami Tensei (FM77AV) (Disk A)
8054	445	15132	5690540	-	Dragon Buster (FM77AV)
7305	2538	4057	3561963	-	FM77AV demo
7305	2538	4057	3561963	-	FM77AV-DEMO.D77
8549	8336	7367	1850826	-	Gambler Jikochuushinha (FM77AV)
7780	7420	14775	3680800	-	How Many Robot (FM77AV) (Disk 0)
9503	10108	4656	9087035	-	How Many Robot (FM77AV) (Disk 1)
7286	976	3790	368940	-	In the Dream (FM77AV) (Disk A)
9755	8199	3790	6283841	-	Kohakuiro no Yuigon (FM77AV) (Disk 1)
8249	8802	3812	1530359	-	Kohakuiro no Yuigon (FM77AV) (Disk 2)
8249	8802	3812	1530359	-	Kohakuiro no Yuigon (FM77AV) (Disk 3)
8249	8802	3812	1530359	-	Kohakuiro no Yuigon (FM77AV) (Disk 4)
11144	8779	4363	104944	-	Kugyokuden (FM77AV) (Disk 2 - Gekan)
10010	74	3812	6630189	-	Laydock (FM77AV) (Disk A - Program)
7780	8641	5851	3528978	-	Kugyokuden (FM77AV) (Disk 1 - Joukan)
10010	74	3812	6630189	-	Laydock (FM77AV) (T&E) (Disk A - Program)
286	8781	3814	103863	-	Little Box (FM77AV) (Disk A)
8324	313	3790	5443829	RUNAWAY-INTO-IO 	Luxsor (FM77AV) (Disk 1)
60	8802	3812	27026	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 2)
7886	5008	29831	4639523	-	Luxsor (FM77AV) (Disk 2)
9525	10169	4411	9216148	-	Metal -X- (FM77AV) {run METAL-X-}
7433	6316	13838	3444252	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 1)
8385	8802	3812	3359052	-	Might and Magic (FM77AV) (Disk A)
7927	8802	3812	732013	-	Might and Magic (FM77AV) (Disk C)
7927	8802	3812	732013	-	Might and Magic (FM77AV) (Disk D)
6368	128	15085	922607	-	Mugen Senshi Valis (FM77AV) (Disk 1)
7136	2682	12103	2144924	-	Mugen Senshi Valis (FM77AV) (Disk 2)
7327	8728	3790	3000419	-	Nobunaga no Yabou - Zenkoku-ban (FM77AV) (Disk A)
7791	7512	17413	2592049	-	Pro Yakyuu Fan (FM77AV) (Disk A)
8000	166	24435	1100520	-	Psy-O-Blade (FM77AV) (Disk 1 - Program)
11156	8791	4099	47984	-	Psy-O-Blade (FM77AV) (Disk 2 - A)
11156	8791	4092	47984	-	Psy-O-Blade (FM77AV) (Disk 3 - B)
11156	8791	4090	47984	-	Psy-O-Blade (FM77AV) (Disk 4 - C)
11156	8791	4090	47984	-	Psy-O-Blade (FM77AV) (Disk 5 - D)
7769	9130	5526	2574478	-	Reviver (FM77AV) (Disk A - Master)
7446	2286	3790	5774263	-	Seles (FM77AV) (Disk A)
7181	136	7292	295469	-	Silpheed (FM77AV) (Disk A)
8751	7043	94641	3803078	-	Shounen Mike no Hitoritabi (FM77AV)
7393	7938	3790	2646120	-	Space Harrier (FM77AV) (Disk 0)
6725	8576	3790	582280	-	Space Harrier (FM77AV) (Disk 1)
7393	7938	3790	2646120	-	Space Harrier (FM77AV)(Dempa) (Disk 0)
6725	8576	3790	582280	-	Space Harrier (FM77AV)(Dempa) (Disk 1)
11083	9351	9156	980825	-	The Return of Ishtar (FM77AV) (Disk A)
7646	4950	21368	3737340	-	Tetris (FM77AV)
11083	9351	9156	980825	-	The Return of Ishtar (FM77AV) (SPS) (Disk A)
8134	7133	5329	1919109	-	The Tower of Druaga (FM77AV) (Dempa)
8134	7133	5329	1919109	-	The Tower of Druaga (FM77AV)
480	8333	3790	235621	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 1)
9528	10209	5163	9344901	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 2)
9528	10209	5163	9344899	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 3)
6102	8201	7143	1219995	-	Wizardry IV (FM77AV) (Disk A)
8385	8792	4752	31121	-	Wizardry IV (FM77AV) (Disk C)
5950	40	17780	3633918	-	Woody Poco (FM77AV) (Disk 1)
11165	8802	3812	23168	-	Woody Poco (FM77AV) (Disk 2)
53	8802	3812	23168	-	World Golf II (FM77AV) (Disk 2)
8386	8443	23919	2827176	-	World Golf II (FM77AV) (Disk 1)
7447	7357	3790	3184603	-	Yami no Iyo Densetsu (FM77AV) (Disk 1)
9528	10210	5163	9345602	-	Yami no Iyo Densetsu (FM77AV) (Disk 2)
8781	7768	35924	1921451	-	Ys (FM77AV) (Disk A)
11165	8802	3812	23168	-	Ys II (FM77AV) (Disk A)
7354	7386	3790	2424686	-	Ys II (FM77AV) (Program disk)
