MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
427	44	3790	252807	-	Death Force (FM77AV) (Disk A)
4940	113	7537	1016228	-	Daiva Story 2 - Memory in Durga (FM77AV) (Disk A)
5045	349	10465	3571368	-	Dragon Buster (FM77AV)
4995	430	18350	1224625	-	Digital Devil Story - Megami Tensei (FM77AV) (Disk A)
5179	615	98851	2657375	-	Deep Forest (FM77AV) (Disk A)
6253	7466	3790	3101406	-	FM77AV demo
3613	8778	3812	270355	-	[OS] F-BASIC v3.3 L10 (FM77AV)
3613	8778	3812	270355	-	[OS] F-BASIC v3.3 L11 (FM77AV)
3613	8778	3812	270355	-	[Utility] FM Sound Editor (FM77AV)
4151	8427	33618	790783	-	Argo (FM77AV) (Disk A)
6253	7466	3790	3101406	-	FM77AV-DEMO.D77
4987	1272	3790	351873	-	In the Dream (FM77AV) (Disk A)
4936	7609	7367	1306388	-	Gambler Jikochuushinha (FM77AV)
5669	9952	4641	5331134	-	How Many Robot (FM77AV) (Disk 1)
4568	7183	5161	1923465	-	How Many Robot (FM77AV) (Disk 0)
5234	8010	3790	3420711	-	Kohakuiro no Yuigon (FM77AV) (Disk 1)
4656	8778	3812	734539	-	Kohakuiro no Yuigon (FM77AV) (Disk 2)
4656	8778	3812	734539	-	Kohakuiro no Yuigon (FM77AV) (Disk 3)
4952	4036	3790	3695017	-	Kugyokuden (FM77AV) (Disk 1 - Joukan)
4656	8778	3812	734539	-	Kohakuiro no Yuigon (FM77AV) (Disk 4)
5982	81	3812	3973995	-	Laydock (FM77AV) (Disk A - Program)
6672	8707	4380	106015	-	Kugyokuden (FM77AV) (Disk 2 - Gekan)
5982	81	3812	3973995	-	Laydock (FM77AV) (T&E) (Disk A - Program)
243	8709	3790	85689	-	Little Box (FM77AV) (Disk A)
4780	839	42128	1155879	-	Luxsor (FM77AV) (Disk 1)
48	8778	3812	24223	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 2)
4718	1962	9636	2031394	-	Luxsor (FM77AV) (Disk 2)
5012	8778	3812	545885	-	Might and Magic (FM77AV) (Disk A)
5693	10055	4411	5433470	-	Metal -X- (FM77AV) {run METAL-X-}
5041	8781	4072	4553462	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 1)
4537	8778	3812	315006	-	Might and Magic (FM77AV) (Disk C)
4488	383	7868	733516	-	Mugen Senshi Valis (FM77AV) (Disk 2)
4351	130	17149	714905	-	Mugen Senshi Valis (FM77AV) (Disk 1)
4537	8778	3812	315006	-	Might and Magic (FM77AV) (Disk D)
5030	8623	3790	719699	-	Nobunaga no Yabou - Zenkoku-ban (FM77AV) (Disk A)
5435	8745	3812	2716625	-	Pro Yakyuu Fan (FM77AV) (Disk A)
5223	165	24525	853363	-	Psy-O-Blade (FM77AV) (Disk 1 - Program)
6687	8753	4092	47071	-	Psy-O-Blade (FM77AV) (Disk 3 - B)
6687	8753	4099	47071	-	Psy-O-Blade (FM77AV) (Disk 2 - A)
6687	8753	4090	47071	-	Psy-O-Blade (FM77AV) (Disk 4 - C)
4885	3093	3790	3509984	-	Seles (FM77AV) (Disk A)
6687	8753	4090	47071	-	Psy-O-Blade (FM77AV) (Disk 5 - D)
4625	8798	5526	1036587	-	Reviver (FM77AV) (Disk A - Master)
4993	185	7292	242798	-	Silpheed (FM77AV) (Disk A)
6574	8707	3812	4158500	-	Shounen Mike no Hitoritabi (FM77AV)
4805	7940	3790	740917	-	Space Harrier (FM77AV) (Disk 0)
3757	8337	3815	241604	-	Space Harrier (FM77AV) (Disk 1)
3757	8337	3815	241604	-	Space Harrier (FM77AV)(Dempa) (Disk 1)
4805	7940	3790	740917	-	Space Harrier (FM77AV)(Dempa) (Disk 0)
4789	5257	20729	2020723	-	Tetris (FM77AV)
6272	8943	7022	694022	-	The Return of Ishtar (FM77AV) (Disk A)
423	8064	3790	210085	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 1)
6272	8943	7022	694022	-	The Return of Ishtar (FM77AV) (SPS) (Disk A)
5056	8679	5071	1416408	-	The Tower of Druaga (FM77AV)
5056	8679	5071	1416408	-	The Tower of Druaga (FM77AV) (Dempa)
5696	10108	5184	5518497	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 2)
5696	10108	5184	5518497	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 3)
3721	8063	10411	666641	-	Wizardry IV (FM77AV) (Disk A)
4017	44	3810	2077508	-	Woody Poco (FM77AV) (Disk 1)
5032	8530	4819	28368	-	Wizardry IV (FM77AV) (Disk C)
45	8778	3812	21908	-	World Golf II (FM77AV) (Disk 2)
4830	8003	3790	618804	-	World Golf II (FM77AV) (Disk 1)
6695	8778	3812	21908	-	Woody Poco (FM77AV) (Disk 2)
5696	10109	5184	5518831	-	Yami no Iyo Densetsu (FM77AV) (Disk 2)
4378	7332	3790	1460750	-	Yami no Iyo Densetsu (FM77AV) (Disk 1)
4843	7240	35759	1475873	-	Ys (FM77AV) (Disk A)
6695	8778	3812	21908	-	Ys II (FM77AV) (Disk A)
4561	6368	3790	1775484	-	Ys II (FM77AV) (Program disk)
