MAIN_PF	SUB_PF	PNG	IO	NOTES	TITLE
420	44	3790	251657	-	Death Force (FM77AV) (Disk A)
4921	75	3790	273384	-	Daiva Story 2 - Memory in Durga (FM77AV) (Disk A)
6009	615	3790	237630	-	Deep Forest (FM77AV) (Disk A)
3717	7426	3790	291266	RUNAWAY-INTO-IO 	[Utility] FM Sound Editor (FM77AV)
6234	8778	3814	119618	-	Argo (FM77AV) (Disk A)
4035	8778	3814	8005661	-	Digital Devil Story - Megami Tensei (FM77AV) (Disk A)
4460	8778	3814	4203079	-	[OS] F-BASIC v3.3 L11 (FM77AV)
4460	8778	3814	4203079	-	[OS] F-BASIC v3.3 L10 (FM77AV)
5033	2957	4056	5000579	-	Dragon Buster (FM77AV)
5068	112	3790	6119431	-	FM77AV demo
5068	112	3790	6119431	-	FM77AV-DEMO.D77
4930	7841	5959	1001960	-	Gambler Jikochuushinha (FM77AV)
4923	8260	3790	1438054	-	How Many Robot (FM77AV) (Disk 0)
4923	8260	3790	1438054	-	How Many Robot (FM77AV) (Disk 1)
4922	8259	3790	1437399	-	In the Dream (FM77AV) (Disk A)
5162	8010	16857	3385639	-	Kohakuiro no Yuigon (FM77AV) (Disk 1)
4656	8778	3814	734539	-	Kohakuiro no Yuigon (FM77AV) (Disk 2)
4656	8778	3814	734539	-	Kohakuiro no Yuigon (FM77AV) (Disk 4)
4656	8778	3814	734539	-	Kohakuiro no Yuigon (FM77AV) (Disk 3)
5982	81	3814	3973995	-	Laydock (FM77AV) (T&E) (Disk A - Program)
5982	81	3814	3973995	-	Laydock (FM77AV) (Disk A - Program)
4492	8711	3814	8854634	-	Kugyokuden (FM77AV) (Disk 1 - Joukan)
4492	8711	3814	8854628	-	Kugyokuden (FM77AV) (Disk 2 - Gekan)
5711	10120	5182	5568060	-	Little Box (FM77AV) (Disk A)
5810	812	3790	125252	-	Luxsor (FM77AV) (Disk 1)
6017	227	3790	113279	-	Luxsor (FM77AV) (Disk 2)
5744	189	3790	74608	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 1)
48	8778	3814	24223	-	Mahjong Kyou Jidai Special (FM77AV) (Disk 2)
4923	8259	3790	1438268	-	Metal -X- (FM77AV) {run METAL-X-}
5012	8778	3814	545885	-	Might and Magic (FM77AV) (Disk A)
4537	8778	3814	315006	-	Might and Magic (FM77AV) (Disk C)
4537	8778	3814	315006	-	Might and Magic (FM77AV) (Disk D)
5477	131	3790	7160543	-	Mugen Senshi Valis (FM77AV) (Disk 1)
6392	236	3790	296370	-	Mugen Senshi Valis (FM77AV) (Disk 2)
5030	8623	3790	719983	-	Nobunaga no Yabou - Zenkoku-ban (FM77AV) (Disk A)
6021	165	4401	90334	-	Psy-O-Blade (FM77AV) (Disk 1 - Program)
5435	8745	3814	2716625	-	Pro Yakyuu Fan (FM77AV) (Disk A)
6687	8753	4085	47071	-	Psy-O-Blade (FM77AV) (Disk 3 - B)
6687	8753	4095	47071	-	Psy-O-Blade (FM77AV) (Disk 2 - A)
6687	8753	4086	47071	-	Psy-O-Blade (FM77AV) (Disk 4 - C)
5162	44	3790	3353814	-	Reviver (FM77AV) (Disk A - Master)
6687	8753	4083	47071	-	Psy-O-Blade (FM77AV) (Disk 5 - D)
4923	8260	3790	1438054	-	Seles (FM77AV) (Disk A)
6016	185	3790	29973	-	Silpheed (FM77AV) (Disk A)
6574	8707	3814	4158534	-	Shounen Mike no Hitoritabi (FM77AV)
4923	8260	3790	1438054	-	Space Harrier (FM77AV) (Disk 0)
3757	8337	3819	241604	-	Space Harrier (FM77AV) (Disk 1)
4923	8260	3790	1438054	-	Space Harrier (FM77AV)(Dempa) (Disk 0)
3757	8337	3819	241604	-	Space Harrier (FM77AV)(Dempa) (Disk 1)
4862	5490	8774	2123707	-	Tetris (FM77AV)
4923	8260	3790	1438054	-	The Return of Ishtar (FM77AV) (Disk A)
4923	8260	3790	1438054	-	The Return of Ishtar (FM77AV) (SPS) (Disk A)
195	44	3790	40231	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 1)
4923	8260	3790	1437987	-	The Tower of Druaga (FM77AV) (Dempa)
4923	8260	3790	1437987	-	The Tower of Druaga (FM77AV)
5707	10120	5182	5566490	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 2)
3739	7976	15418	702643	-	Wizardry IV (FM77AV) (Disk A)
5707	10120	5182	5566490	-	Urusei Yatsura - Koi no Survival Birthday (FM77AV) (Disk 3)
7269	44	3816	3629689	-	Woody Poco (FM77AV) (Disk 1)
5032	8530	4806	28368	-	Wizardry IV (FM77AV) (Disk C)
6019	272	3814	128168	-	World Golf II (FM77AV) (Disk 1)
6695	8778	3814	21908	-	Woody Poco (FM77AV) (Disk 2)
45	8778	3814	21908	-	World Golf II (FM77AV) (Disk 2)
4378	7332	3790	1460750	-	Yami no Iyo Densetsu (FM77AV) (Disk 1)
4623	4892	3790	3535440	-	Ys (FM77AV) (Disk A)
5707	10122	5182	5566823	-	Yami no Iyo Densetsu (FM77AV) (Disk 2)
6695	8778	3814	21908	-	Ys II (FM77AV) (Disk A)
5711	8778	3814	7320735	-	Ys II (FM77AV) (Program disk)
